[REFCODE]	[_publ_authors]	[_journal_name_full]	[_journal_volume]	[_journal_pages]	[_journal_year]	[_chemical_formula_moiety]	[_chemical_name_systematic]	[_chemical_name_common]	[_chemical_compound_source]	[_chemical_melting_point]	[_exptl_crystal_colour]	[_chemical_QUAL]	[_chemical_NOTE]	[_symmetry_space_group_name]	[_symmetry_Int_Tables_number]	[_cell_length_a]	[_cell_length_b]	[_cell_length_c]	[_cell_angle_alpha]	[_cell_angle_beta]	[_cell_angle_gamma]	[_cell_volume]	[_rcell_length_a]	[_rcell_length_b]	[_rcell_length_c]	[_rcell_angle_alpha]	[_rcell_angle_beta]	[_rcell_angle_gamma]	[_rcell_volume]	[_molecular_volume]	[_cell_RESIDUES]	[_cell_formula_units_Z]	[_cell_formula_units_Zprime]	[_exptl_crystal_preparation]	[_exptl_crystal_description]	[POLYMORPH]	[_exptl_crystal_NOTES]	[_refine_ls_R_factor]	[_cell_measurement_temperature]	[_exptl_crystal_density_CCDC]	[_exptl_crystal_density_diffrn]	[_diffrn_measurement_device]	[_exptl_DISORDER]	[_exptl_QUAL]	[_ccdc_REMARK]	
HAVFES	K.Singaravelan, A.Chandramohan, M.Saravanabhavan, I.V.Muthu Vijayan Enoch, V.S.Suganthi	Spectrochim.Acta,Part A 	184	318	2017	C8 H4 N1 O6 1-,C6 H7 Cl1 N1 1+	4-chloroanilinium 2-carboxy-6-nitrobenzoate				grey			P21/c	14	14.3752	8.0269	13.3774	90.0	107.067	90.0	1475.619	8.0269	13.3774	14.3752	107.067	90.0	90.0	1475.619	368.90475	2	4.0	1.0					5.68	293	1.525	1.525	3		293 K		
HAXCOB	S.K.Roy, D.Sengupta, S.P.Rath, T.Saha, S.Samanta, S.Goswami	Inorg.Chem. 	56	4966	2017	C27 H23 Cl3 N5 Ru1 1+,F6 P1 1-,C1 H2 Cl2	chloro-bis(4-chloroaniline)-(2,2':6',2''-terpyridine)-ruthenium hexafluorophosphate dichloromethane solvate				red			Pna21	33	22.765	19.288	7.634	90.0	90.0	90.0	3352.023	7.634	19.288	22.765	90.0	90.0	90.0	3352.023	838.00575	3	4.0	1.0		plate			3.97	293	1.694	1.694	3		twin; 293 K		
HAXFET	Hui-Ju Chuang, Yu-Chu Su, Bao-Tsan Ko, Chu-Chieh Lin	Inorg.Chem.Commun. 	18	38	2012	C22 H25 Cl1 N4 O2	2-(4-Chlorophenyl)-4-(((2-(dimethylamino)ethyl)amino)(4-methoxyphenyl)methylene)-5-methyl-2,4-dihydro-3H-pyrazol-3-one				colorless			C2/c	15	21.6291	16.5309	11.8297	90.0	101.407	90.0	4146.142	11.8297	13.61147	13.61147	74.7806	80.9592	80.9592	2073.07	518.26775	1	8.0	1.0		parallelepiped			5.24	110	1.323	1.323	3				
HAXFIX	Hui-Ju Chuang, Yu-Chu Su, Bao-Tsan Ko, Chu-Chieh Lin	Inorg.Chem.Commun. 	18	38	2012	C23 H27 Al1 Cl1 F1 N4 O1	(1-(4-chlorophenyl)-4-((4-fluorophenyl)(2-(dimethylamino)ethylimino)methyl)-3-methyl-1H-pyrazol-5-olato)-dimethyl-aluminium				colorless			P-1	2	10.2603	10.5288	12.3331	101.806	113.387	99.609	1150.442	10.2603	10.5288	12.3331	101.806	113.387	99.609	1150.442	575.221	1	2.0	1.0		parallelepiped			4.5	110	1.319	1.319	3				
HAYYAI	W.T.A.Harrison, H.G.Anilkumar, H.S.Yathirajan, B.Sadashivamurthy, Y.B.Basara	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	61	o4146	2005	C14 H11 Cl1 O2	3-Chloro-4-hydroxy-4'-methylbenzophenone				colorless			P-1	2	7.1062	8.5441	9.8766	86.124	83.804	77.29	580.962	7.1062	8.5441	9.8766	86.124	83.804	77.29	580.962	290.481	1	2.0	1.0	acetone/acetonitrile	block			4.14	120	1.41	1.41	3				
HCLBNZ13	Thai Thanh Thu Bui, S.Dahaoui, C.Lecomte, G.R.Desiraju, E.Espinosa	Angew.Chem.,Int.Ed. 	48	3838	2009	C6 Cl6	Hexachlorobenzene				colorless			P21/n	14	7.9724	3.7626	14.6851	90.0	92.456	90.0	440.104	3.7626	7.9724	14.6851	92.456	90.0	90.0	440.104	220.052	1	2.0	0.5	sublimation	prism			1.04	100	2.149	2.149	3				
HCLPXP10	R.Allmann	Cryst.Struct.Commun. 	5	639	1976	C34 H28 Cl8 O4	13,15-bis(Spirocyclohexane)-1,2,3,4,8,9,10,11-octachloro-(5ar,5bc,6at,13bc)-5a,5b,6,6a,13b,15-hexahydro-6c,13ac-etheno-dibenzo(b,b') pentaleno(1,2-e,5,4-e')bis(dioxepine)			340deg.C				P21/c	14	17.129	11.247	18.831	90.0	110.52	90.0	3397.606	11.247	17.129	18.831	110.52	90.0	90.0	3397.606	849.4015	1	4.0	1.0					5.3	295	1.533	1.533	3				
HCLQUX	A.J.W.A.Vermeulen, C.Huiszoon	Acta Crystallogr.,Sect.B:Struct.Crystallogr.Cryst.Chem. 	35	3087	1979	C8 Cl6 N2	Hexachloro-quinoxaline							P21/c	14	13.168	3.9178	21.622	90.0	101.22	90.0	1094.15	3.9178	13.168	21.622	101.22	90.0	90.0	1094.15	273.5375	1	4.0	1.0					6.8	295	2.045	2.045	3				
HCLXAN	M.Soderholm, U.Sonnerstam, R.Norrestam, T.-B.Palm	Acta Crystallogr.,Sect.B:Struct.Crystallogr.Cryst.Chem. 	32	3013	1976	C13 H4 Cl6 O1	1,3,4,6,7,9-Hexachloroxanthene							P21/n	14	16.114	11.95	7.254	90.0	92.29	90.0	1395.731	7.254	11.95	16.114	90.0	92.29	90.0	1395.731	348.93275	1	4.0	1.0					6.4	295	1.851	1.85	3				
HCXANO	M.Soderholm, U.Sonnerstam, R.Norrestam, T.-B.Palm	Acta Crystallogr.,Sect.B:Struct.Crystallogr.Cryst.Chem. 	32	3013	1976	C13 H2 Cl6 O2	1,3,4,6,7,9-Hexachloroxanthone							P21/n	14	15.96	11.833	7.348	90.0	93.11	90.0	1385.66	7.348	11.833	15.96	90.0	93.11	90.0	1385.66	346.415	1	4.0	1.0					6.1	295	1.931	1.93	3				
HEBNIL	S.T.Malinovskii, M.A.Rechter, G.N.Grushetskaya, S.V.Rudakov, V.E.Zavodnik, M.Z.Krimer	Kristallografiya(Russ.)(Crystallogr.Rep.) 	38	139	1993	C17 H10 Cl2 N4 O3	(E)-1-(2,4-Dichlorophenyl)-3-(4-nitrophenyl)-3-(1H-1,2,4-triazolyl)prop-2-en-1-one			157-159deg.C	colorless			P-1	2	7.986	7.994	14.964	76.52	92.71	112.42	857.845	7.986	7.994	14.964	76.52	87.29	67.58	857.845	428.9225	1	2.0	1.0					5.2	295	1.507	1.507	3				
HECKOP	He Youping, Shi Jianqiu, Su Genbo	Acta Crystallogr.,Sect.C:Cryst.Struct.Commun. 	50	804	1994	C13 H9 Cl1 O1 S1	3-(4-Chlorophenyl)-1-(3-thienyl)-2-propen-1-one				Colorless			P21	4	5.942	4.868	20.104	90.0	95.94	90.0	578.399	4.868	5.942	20.104	95.94	90.0	90.0	578.399	289.1995	1	2.0	1.0					5.1	295	1.428	1.43	3				
HEDYUK	M.Reggelin, M.Kock, K.Conde-Frieboes, D.Mierke	Angew.Chem.,Int.Ed. 	33	753	1994	C42 H44 Cl2 N2 O8 S2	(1R,1'R,2'S,3R)-3,2'-bis((2R,4R,5R)-3-(4-Chlorobenzoylsulfonyl)-4-methyl-5-phenyl-1,3-oxazolidin-2-yl)-1'-hydroxy-2-oxo-1,1'-bicyclopentyl				colorless			C2	5	30.314	7.372	23.336	90.0	126.31	90.0	4202.384	7.372	15.59876	19.20927	83.5089	78.9371	76.3317	2101.192	1050.596	1	4.0	1.0					3.82	295	1.327	1.327	3				
HEFGEH	Lijun Xu, Hongyu Wang, Changwu Zheng, Gang Zhao	Adv.Synth.Catal. 	359	2942	2017	C21 H20 Cl1 F3 N2 O2 S1	t-butyl (1-(3-chlorophenyl)-2-cyano-2-phenyl-2-((trifluoromethyl)sulfanyl)ethyl)carbamate				colorless	absolute configuration		P212121	19	11.522	16.455	24.276	90.0	90.0	90.0	4602.596	11.522	16.455	24.276	90.0	90.0	90.0	4602.596	575.3245	1	8.0	2.0		column			6.32	296	1.319	1.319	3		absolute configuration; 296 K		
HEFVUK	Gang Li, Handong Yin, Daqi Wang	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	62	m366	2006	C58 H46 Cl18 O4 Sn4	bis(mu!3$-Oxo)-bis(mu!2$-methanolato)-octakis(2,4-dichlorobenzyl)-dichloro-tetra-tin(iv)			427 K	colorless			P21/c	14	12.462	21.277	14.201	90.0	113.045	90.0	3464.96	12.462	14.201	21.277	90.0	90.0	113.045	3464.96	1732.48	1	2.0	0.5	dichloromethane	block			4.51	298	1.84	1.84	3		at 298 K		
HEGMOX	H.Behbehani, H.M.Ibrahim	Molecules 	17	6362	2012	C17 H12 Cl1 N3 O4 S1,C2 H6 O1 S1	2-((2-Chloro-5-nitrophenyl)imino)-5-(4-methoxybenzylidene)-1,3-thiazolidin-4-one dimethyl sulfoxide solvate				yellow			P21/c	14	21.54	8.1718	25.489	90.0	111.639	90.0	4170.399	8.1718	21.54	25.489	111.639	90.0	90.0	4170.399	521.299875	2	8.0	2.0		block			4.7	150	1.491	1.49	3				
HEHSAO	F.Azevedo, M.A.A.F.de C.T.Carrondo, B.de Castro, M.Convery, D.Domingues, C.Freire, M.T.Duarte, K.Nielsen, I.C.Santos	Inorg.Chim.Acta 	219	43	1994	C20 H10 Cl4 N2 Ni1 O2	N,N'-1,2-Benzene-1,2-diyl-bis(3,5-dichlorosalicylideneiminato)-nickel(ii)							P21/n	14	13.372	8.785	16.534	90.0	101.6	90.0	1902.628	8.785	13.372	16.534	101.6	90.0	90.0	1902.628	475.657	1	4.0	1.0					4.4	295	1.783	1.78	3				
HEHVEV	N.Aurangzeb, C.E.Hulme, C.A.McAuliffe, R.G.Pritchard, M.Watkinson, M.R.Bermejo, A.Garcia-Deibe, M.Rey, J.Sanmartin, A.Sousa	Chem.Commun. 		1153	1994	C16 H14 Cl4 Mn1 N2 O4 1+,Cl1 O4 1-	Diaqua-(N,N'-3,5-dichlorobis(salicylidene)-1,2-diaminoethane)-manganese(iii) perchlorate							P21/c	14	12.349	12.88	14.165	90.0	106.66	90.0	2158.441	12.349	12.88	14.165	90.0	106.66	90.0	2158.441	539.61025	2	4.0	1.0					4.1	295	1.829	1.829	3				
HEJXIF	Bin Li, Huiliang Feng, Nuancheng Wang, Jianfeng Ma, Haibin Song, Shansheng Xu, Baiquan Wang	Chem.-Eur.J. 	18	12873	2012	C45 H36 Cl1 N1 O1 Ru1	(eta$6!-1-Isopropyl-4-methylbenzene)-(2-(2-(6-chloro-1-oxido-4-phenylisoquinolin-3-yl)phenyl)-1,2-diphenylvinyl)-ruthenium				colorless			P21/n	14	8.725	20.616	18.78	90.0	91.863	90.0	3376.259	8.725	18.78	20.616	90.0	90.0	91.863	3376.259	844.06475	1	4.0	1.0		prism			3.68	113	1.462	1.462	3				
HEKFAH	S.Inoue, M.Mitsuhashi, T.Ono, Yin-Nan Yan, Y.Kataoka, M.Handa, T.Kawamoto	Inorg.Chem. 	56	12129	2017	C26 H16 Cl4 N2 Ni1 S2	(bis-2,2'-[1,2-di(3,5-dichlorophenyl)-ethylenediimine]benzenethiolato radical)-nickel(ii)				black			P2/n	13	12.0742	8.2846	12.687	90.0	96.882	90.0	1259.936	8.2846	12.0742	12.687	96.882	90.0	90.0	1259.936	629.968	1	2.0	0.5		prism			3.08	296	1.637	1.637	3		296 K		
HEKSUO	A.Seki	Tetrahedron Lett. 	58	4232	2017	C31 H34 Cl3 N3 O2	N-(3-{4-[(2,4,6-trichlorobenzene-1-carbonyl)amino]phenyl}cyclododecyl)pyridine-2-carboxamide				colorless			P-1	2	8.3362	10.4514	17.1539	99.097	101.524	95.326	1433.982	8.3362	10.4514	17.1539	99.097	101.524	95.326	1433.982	716.991	1	2.0	1.0		platelet			5.86	93	1.359	1.359	3				
HEMZEH	S.P.Kelley, C.L.Barnes, M.Lewis, B.Hathaway, R.Glaser	CSD Communication(Private Communication) 			2018	C18 H14 Cl2 N2	1,2-bis((E)-5-chloro-2,3-dihydro-1H-inden-1-ylidene)hydrazine				yellow			P-1	2	3.9299	8.8008	11.3394	108.646	95.038	96.107	366.391	3.9299	8.8008	11.3394	108.646	95.038	96.107	366.391	366.391	1	1.0	0.5		needle			5.37	173	1.492	1.492	3				
HENBOU	I.Ramakrishna, P.Ramaraju, M.Baidya	Org.Lett. 	20	1023	2018	C10 H12 Cl1 N1 O1	1-(4-chlorophenyl)pyrrolidin-3-ol				colorless	absolute configuration		P21	4	11.3069	14.2329	18.604	90.0	97.892	90.0	2965.585	11.3069	14.2329	18.604	90.0	97.892	90.0	2965.585	247.132083333	1	12.0	6.0		block			4.51	296	1.328	1.328	3		absolute configuration; 296 K		
HEPZUA	Jianing Zhang, Baolong Wang, Liying Wang, Junmin Sun, Yongfeng Zhang, Zhenzhu Cao, Zhenqiang Wu	Appl.Organomet.Chem. 	32	e4077	2018	C20 H24 Cl4 N2 O2,C2 H6 O1	2,2'-[{[2-(diethylamino)ethyl]azanediyl}bis(methylene)]bis(4,6-dichlorophenol) ethanol solvate							P21/c	14	11.0707	20.934	11.8202	90.0	110.491	90.0	2566.051	11.0707	11.8202	20.934	90.0	90.0	110.491	2566.051	641.51275	2	4.0	1.0		prism			6.09	273	1.326	1.326	3				
HESNAU	H.Irngartinger, J.Lichtenthaler, R.Herpich	Struct.Chem. 	5	283	1994	C24 H20 Cl2 O2	2,5-bis(2-(o-Chlorophenyl)vinyl)-1,4-dimethoxybenzene				yellow			C2/c	15	20.743	4.1354	25.029	90.0	111.525	90.0	1997.265	4.1354	10.5756	23.40523	86.1549	84.9317	78.7251	998.632	499.31625	1	4.0	0.5					4.3	295	1.368	1.368	3				
HESNOJ	Wei Wang, Hao Luo, Sai Bi, Shu-Sheng Zhang	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	62	o4860	2006	C10 H8 Cl2 N4 O1	1-(2,5-Dichlorophenyl)-2-(1H-1,2,4-triazol-1-yl)ethanone oxime				colorless			P21/c	14	15.106	9.1538	8.755	90.0	101.673	90.0	1185.58	8.755	9.1538	15.106	90.0	101.673	90.0	1185.58	296.395	1	4.0	1.0	methanol	block			5.04	293	1.519	1.519	3		at 293 K		
HETKEX	M.Clemente-Leon, E.Coronado, C.J.Gomez-Garcia, A.Soriano-Portillo, S.Constant, R.Frantz, J.Lacour	Inorg.Chim.Acta 	360	955	2007	C10 H8 S8 1+,C18 Cl12 O6 P1 1-,C1 H2 Cl2,C2 H3 N1	bis(Ethylenedithio)tetrathiafulvalene tris(tetrachlorobenzenediolato)phosphate(v) dichloromethane acetonitrile solvate				black			P21/c	14	10.2	30.959	14.942	90.0	105.285	90.0	4551.505	10.2	14.942	30.959	90.0	90.0	105.285	4551.505	1137.87625	4	4.0	1.0		square plate			4.6	293	1.867	0.0	3		at 293 K		
HEWHOI	Zhengjun Fang, Chenzhong Cao	J.Mol.Struct. 	1036	447	2013	C20 H14 Cl2 N2	N,N'-bis(4-chlorobenzylidene)benzene-1,4-diamine							P-1	2	5.885	7.3403	19.4878	80.616	82.686	89.751	823.688	5.885	7.3403	19.4878	80.616	82.686	89.751	823.688	411.844	1	2.0	1.0					3.41	150	1.424	1.424	3				
HEXFOF	V.D.Orlov, N.P.Vorob'eva, Z.Kaluski, E.Figas, K.A.Potekhin	Zh.Strukt.Khim.(Russ.)(J.Struct.Chem.) 	35	149-4	1994	C17 H14 Cl1 N3 O2	5-(4-Chlorophenyl)-7-(4-nitrophenyl)-1,4-diazabicyclo(4.1.0)hept-4-ene			143-144deg.C				P21/c	14	10.239	19.392	15.522	90.0	95.08	90.0	3069.86	10.239	15.522	19.392	90.0	90.0	95.08	3069.86	383.7325	1	8.0	2.0					6.0	295	1.418	1.418	3				
HEXGAV	K.K.Casola, M.R.Gomes, D.F.Back, G.Zeni	J.Org.Chem. 	83	6706	2018	C16 H10 Cl1 I1 Se1	4-(4-chlorophenyl)-3-iodo-2-phenylselenophene			99.6 deg.C	colorless			Fdd2	43	15.4095	90.764	4.2446	90.0	90.0	90.0	5936.616	4.2446	7.9917	45.4316	89.2892	87.3225	74.5996	1484.153	371.0385	1	16.0	1.0	chloroform/methanol	block			3.35	296	1.985	1.985	3		296 K		
HEXRAE	D.M.Tellers, J.C.McWilliams, G.Humphrey, M.Journet, L.DiMichele, J.Hinksmon, A.E.McKeown, T.Rosner, Yongkui Sun, R.D.Tillyer	J.Am.Chem.Soc. 	128	17063	2006	C21 H17 Cl1 F1 N1 O4 S1	(4-(4-chlorobenzyl)-7-fluoro-5-(methylsulfonyl)-1,4-dihydrocyclopenta[b]indol-3-yl)acetic acid				colorless			P21/c	14	11.0378	10.226	17.1981	90.0	98.531	90.0	1919.715	10.226	11.0378	17.1981	98.531	90.0	90.0	1919.715	479.92875	1	4.0	1.0		Tetrahedron			4.88	223	1.501	1.501	3				
HEYJON	C.E.A.de Melo, C.R.Nicoleti, M.C.Rezende, A.J.Bortoluzzi, R.da S.Heying, R.da S.Oliboni, G.F.Caramori, V.G.Machado	Chem.-Eur.J. 	24	9364	2018	C11 H6 Cl2 N2 O4,H2 O1	(E)-2,6-dichloro-4-{[(5-nitrofuran-2-yl)methylidene]amino}phenol monohydrate				colorless			P21/n	14	6.9818	13.9271	13.2089	90.0	92.995	90.0	1282.629	6.9818	13.2089	13.9271	90.0	90.0	92.995	1282.629	320.65725	2	4.0	1.0		prism			3.28	200	1.652	1.652	3				
HEZPOT	R.T.Gephart III, C.L.McMullin, N.G.Sapiezynski, Eun Sil Jang, M.J.B.Aguila, T.R.Cundari, T.H.Warren	J.Am.Chem.Soc. 	134	17350	2012	C26 H24 Cl4 Cu1 N2 O1 1+,C9 H11 O1 1-	(N,N'-Pent-2-en-2-yl-4-ylidenebis(2,6-dichloroanilinato))-(2-phenylpropan-2-olato radical)-copper(ii) 2-phenylpropan-2-olate				brown			P21/n	14	15.735	8.2314	27.148	90.0	104.291	90.0	3407.427	8.2314	15.735	27.148	104.291	90.0	90.0	3407.427	851.85675	2	4.0	1.0		plate			4.75	100	1.405	1.405	3				
HEZPUZ	R.T.Gephart III, C.L.McMullin, N.G.Sapiezynski, Eun Sil Jang, M.J.B.Aguila, T.R.Cundari, T.H.Warren	J.Am.Chem.Soc. 	134	17350	2012	C22 H18 Cl4 Cu1 N3	(N,N'-Pent-2-en-2-yl-4-ylidenebis(2,6-dichloroanilinato))-pyridine-copper				yellow			P-1	2	7.7863	11.916	14.044	66.302	82.377	79.641	1171.061	7.7863	11.916	14.044	66.302	82.377	79.641	1171.061	585.5305	1	2.0	1.0		Block			4.56	248	1.502	1.502	3				
HIBHOP	L.M.Toledo, J.W.Lauher, F.W.Fowler	Chem.Mater. 	6	1222	1994	C11 H9 Cl1 N2 O1	2-Amino-6-(p-chlorophenyl)-4(1H)-pyridone			294-300deg.C(dec.)	beige			P21	4	6.693	4.904	15.586	90.0	100.69	90.0	502.693	4.904	6.693	15.586	100.69	90.0	90.0	502.693	251.3465	1	2.0	1.0					3.9	295	1.458	1.457	3			Cell dimension b is 4.904 not 4.094	
HIBWOE	A.Bhar, J.P.Aune, N.Benali-Cherif, L.Benmenni, M.Giorgi	Acta Crystallogr.,Sect.C:Cryst.Struct.Commun. 	51	256	1995	C6 H1 Cl4 N1 O2	2,3,5,6-Tetrachloronitrobenzene							P-1	2	10.92	10.944	8.74	103.17	112.68	78.25	930.561	8.74	10.92	10.944	78.25	76.83	67.32	930.561	232.64025	1	4.0	2.0					3.9	295	1.862	1.862	3				
HIDJAI	S.A.Sahadevan, E.Cadoni, N.Monni, C.S.de Pipaon, J.R.Galan-Mascaros, A.Abherve, N.Avarvari, L.Marchio', M.Arca, M.L.Mercuri	Cryst.Growth Des. 	18	4187	2018	C36 H24 Cl4 Fe2 N6 O4 S2	bis(2-(((5,7-dichloroquinolin-8-yl)imino)methyl)phenolato)-bis(mu-methanolato)-bis(isothiocyanato)-di-iron(iii)				red			P-1	2	9.8523	9.8657	10.4992	89.382	70.828	69.549	896.912	9.8523	9.8657	10.4992	89.382	70.828	69.549	896.912	896.912	1	1.0	0.5		block			4.83	100	1.707	1.707	3				
HIDXAU	O.Ozgen, O.Bozdag-Dundar, R.Ertan, E.Kendi	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	63	o2355	2007	C21 H12 Cl4 N2 O2 S3	5-(4-Chloro-2-(4-chlorobenzylsulfanyl)thiazol-5-ylmethylene)-3-(2,4-dichlorobenzyl)thiazolidine-2,4-dione			427-428 K	yellow	potential antihyperglycaemic and aldose reductase inhibitory activity		P-1	2	8.042	14.359	21.2641	100.386	99.594	104.237	2283.01	8.042	14.359	21.2641	100.386	99.594	104.237	2283.01	570.7525	1	4.0	2.0	dimethylformamide/isopropanol	prism			7.58	293	1.636	1.636	3		at 293 K		
HIFBUT	R.Jones, S.J.Rettig, J.R.Scheffer, J.Trotter, Jie Yang	Acta Crystallogr.,Sect.B:Struct.Sci. 	52	151	1996	C20 H14 Cl2 O4	Dimethyl 1,5-dichloro-4b,8b,8c,8d-tetrahydrodibenzo(a,f)cyclopropa(c,d)pentalene-8c,8d-dicarboxylate			459-461K	colorless			Pna21	33	14.867	8.109	14.944	90.0	90.0	90.0	1801.596	8.109	14.867	14.944	90.0	90.0	90.0	1801.596	450.399	1	4.0	1.0					2.7	295	1.435	1.435	3				
HIFDIJ	Z.Bocskei, K.Simon, V.Nemeth, B.Agai, L.Toke	Acta Crystallogr.,Sect.B:Struct.Sci. 	52	194	1996	C16 H16 Cl1 N1 O3	2-Chloro-6,7,9,10-tetrahydro-16H-dibenzo(b,k)-1,4,7,10-azatrioxacyclodecine							P21/a	14	13.922	6.951	30.173	90.0	93.04	90.0	2915.787	6.951	13.922	30.173	93.04	90.0	90.0	2915.787	364.473375	1	8.0	2.0					7.48	295	1.393	1.393	3				
HIFDOQ	H.-K.Fun, Jia-Jun Yue, Jian-Hua Xu, S.Chantrapromma	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	63	o2151	2007	C19 H15 Cl4 N1 O3	7,8,9,10-Tetrachloro-10b-(2-hydroxy-1-phenyl-ethyl)-3,4-dihydro-2H-1,3-oxazino(2,3-a)isoindol-6(10bH)-one			472-474 K	colorless			P-1	2	8.3221	8.7849	14.9376	100.189	95.084	117.496	935.125	8.3221	8.7849	14.9376	100.189	95.084	117.496	935.125	467.5625	1	2.0	1.0	chloroform/petroleum ether	block			5.15	100	1.588	1.588	3				
HIFXEC	P.Niermeier, J.-H.Lamm, M.Linnemannstons, B.Neumann, H.-G.Stammler, N.W.Mitzel	Synthesis 	50	3041	2018	C30 H20 Cl4 Si1	bis(4,5-dichloroanthracen-9-yl)(dimethyl)silane				yellow			P-1	2	9.9727	10.1941	12.0359	82.8885	83.1578	87.1591	1204.789	9.9727	10.1941	12.0359	82.8885	83.1578	87.1591	1204.789	602.3945	1	2.0	1.0		irregular			2.57	100	1.517	1.517	3				
HIFZIH	T.O.Painter, J.R.Bunn, F.J.Schoenen, J.T.Douglas, V.W.Day, C.Santini	J.Org.Chem. 	78	3720	2013	C21 H20 Cl1 N1 O2	7-Benzylidene-1-azabicyclo[3.2.1]oct-5-yl 4-chlorobenzoate				colorless			P21/c	14	5.5387	9.1358	34.448	90.0	90.723	90.0	1742.946	5.5387	9.1358	34.448	90.0	90.723	90.0	1742.946	435.7365	1	4.0	1.0		Rectangular parallelepiped			3.43	100	1.348	1.348	3				
HIJGOW	T.Hamann, A.Blaschette, P.G.Jones	Phosphorus,Sulfur,Silicon,Relat.Elem. 	102	221	1995	C15 H17 Cl2 N1 O4 S2 Si1	N,N-bis(4-Chlorophenylsulfonyl)trimethylsilylamine			95deg.C	colorless			P-1	2	6.592	11.345	13.343	96.52	103.35	93.32	960.968	6.592	11.345	13.343	96.52	103.35	93.32	960.968	480.484	1	2.0	1.0					2.84	198	1.515	1.515	3				
HIJPEY	Zhenfeng Zhang, Nana Ma	New J.Chem. 	42	19995	2018	C12 H11 Cl1 N2 O2	(E)-ethyl 3-[(4-chlorophenyl)amino]-2-cyanoprop-2-enoate				colorless			P-1	2	7.0911	12.042	15.295	80.159	89.087	74.739	1240.88	7.0911	12.042	15.295	80.159	89.087	74.739	1240.88	310.22	1	4.0	2.0		plate			4.48	296	1.342	1.342	3		296 K		
HIJYAD	A.Lapsam, O.Hussain, R.M.Phillips, W.Kaminsky, M.R.Kollipara	J.Organomet.Chem. 	880	272	2019	C24 H25 Cl3 N2 O1 Ru1 S1	dichloro-{N-[(4-chlorophenyl)carbamothioyl]benzamide}-[1-isopropyl-4-methylbenzene]-ruthenium				red			C2/c	15	30.129	11.8884	14.0825	90.0	96.336	90.0	5013.338	11.8884	14.0825	16.19483	95.8921	111.5334	90.0	2506.668	626.66725	1	8.0	1.0		block			5.12	293	1.582	1.591	3		293 K		
HILJIX	Min Zhang, Guo-Kai Jia, Lin Yuan, Xian-You Yuan	Z.Kristallogr.-New Cryst.Struct. 	228	393	2013	C12 H13 Cl1 O4	2-(4-chlorophenyl)-5-methyl-1,3-dioxane-5-carboxylic acid			453 K	colorless			C2/c	15	35.3097	5.9993	22.7422	90.0	98.692	90.0	4762.23	5.9993	17.90787	22.7422	98.5683	90.0	99.6428	2381.115	297.639375	1	16.0	2.0		block			3.97	153	1.432	1.432	3				
HILKUL	J.N.Low, J.L.Wardell	CSD Communication(Private Communication) 			2018	C9 H7 Cl1 N1 O1 1+,C9 H6 Cl1 N1 O1,Cl1 1-	7-chloro-4-hydroxyquinolinium 7-chloro-4-oxyquinolinium chloride				colorless			P-1	2	3.8514	12.2506	18.2024	105.993	91.984	90.054	825.04	3.8514	12.2506	18.2024	105.993	91.984	90.054	825.04	412.52	3	2.0	1.0		plate			4.16	100	1.593	1.593	3				
HILLEU01	A.Mandal, B.K.Patel	J.Mol.Struct. 	1155	78	2018	C21 H15 Cl2 N3 O1	2-(4-chlorophenyl)-3-{[(4-chlorophenyl)methylidene]amino}-2,3-dihydroquinazolin-4(1H)-one				white			P21/n	14	6.8652	13.76	20.7416	90.0	96.818	90.0	1945.502	6.8652	13.76	20.7416	90.0	96.818	90.0	1945.502	486.3755	1	4.0	1.0		block			7.12	296	1.353	1.353	3		296 K		
HILMUL	Jian-Rong Han, Xiao-Li Zhen, Xia Tian, Fang Li, Shou-Xin Liu	Acta Crystallogr.,Sect.E:Struct.Rep.Online 	63	o4035	2007	C25 H20 Cl1 N3 O3	(E)-4-((1,5-Dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-ylimino)methyl)phenyl 4-chlorobenzoate				yellow			C2/c	15	31.764	6.7113	25.605	90.0	126.165	90.0	4406.693	6.7113	16.23263	20.95628	86.0347	80.7858	78.0697	2203.347	550.836625	1	8.0	1.0	acetonitrile	block			4.36	294	1.344	1.344	3		at 294 K		
HIMCUB	N.V.Timosheva, A.Chandrasekaran, R.O.Day, R.R.Holmes	Inorg.Chem. 	37	3862	1998	C28 H19 Cl4 O8 P1	bis(Methyl salicylate-O)phenyl(tetrachloro-1,2-benzene-dioxy)phosphorane				colorless			P-1	2	9.428	10.536	16.354	73.49	79.68	67.45	1433.918	9.428	10.536	16.354	73.49	79.68	67.45	1433.918	716.959	1	2.0	1.0	dichloromethane/Skelly-C				3.04	295	1.52	1.52	3				
