[REFCODE]	[_publ_authors]	[_journal_name_full]	[_journal_volume]	[_journal_pages]	[_journal_year]	[_chemical_formula_moiety]	[_chemical_name_systematic]	[_chemical_name_common]	[_chemical_compound_source]	[_chemical_melting_point]	[_exptl_crystal_colour]	[_chemical_QUAL]	[_chemical_NOTE]	[_symmetry_space_group_name]	[_symmetry_Int_Tables_number]	[_cell_length_a]	[_cell_length_b]	[_cell_length_c]	[_cell_angle_alpha]	[_cell_angle_beta]	[_cell_angle_gamma]	[_cell_volume]	[_rcell_length_a]	[_rcell_length_b]	[_rcell_length_c]	[_rcell_angle_alpha]	[_rcell_angle_beta]	[_rcell_angle_gamma]	[_rcell_volume]	[_molecular_volume]	[_cell_RESIDUES]	[_cell_formula_units_Z]	[_cell_formula_units_Zprime]	[_exptl_crystal_preparation]	[_exptl_crystal_description]	[POLYMORPH]	[_exptl_crystal_NOTES]	[_refine_ls_R_factor]	[_cell_measurement_temperature]	[_exptl_crystal_density_CCDC]	[_exptl_crystal_density_diffrn]	[_diffrn_measurement_device]	[_exptl_DISORDER]	[_exptl_QUAL]	[_ccdc_REMARK]	[PREF]	[BATC]	[ADAT]	[MDAT]	[NBSI]	[CDRE]	[MSDB]	[NBIT]	[MATF]	[CATF]	[CCOM]	[_ccdc_NOTES]	[_ccdc_RMARKS]	[_ccdc_QUAL]	[_ccdc_PROPS]	
GAQMOD	Zhenbo Mo, T.Szilvasi, Yu-Peng Zhou, Shenglai Yao, M.Driess	Angew.Chem.,Int.Ed. 	56	3699	2017	C48 H57 B1 N2 O2 Si1,0.5(C6 H14)	1,3-di-t-butyl-13',13'-dimethyl-4-phenyl-7',7'-bis(2,4,6-trimethylphenyl)-1H,7'H-spiro[1,3,2-diazasilete-2,5'-[1,11]methano[7lambda$5!]dibenzo[c,f][1,5,2,8]dioxasilaborocine] hexane solvate				colorless			P-1	2	12.703	13.1255	15.0458	89.498	65.729	74.045	2183.202	12.703	13.1255	15.0458	89.498	65.729	74.045	2183.202	1091.601	2	2.0	1.0		rod			4.92	150	1.18	1.18	3				GAQMOD	0	20170314	20170515	0	0	0	195	3	3			"CCDC: CCDC 1528261 "DOI: 10.1002/anie.201700625	"TEMP: 150 K	"COLOR: colorless "HABIT: rod	
GASPIB	Xiaoyuan Zhou, R.F.Jordan	Organometallics 	30	4632	2011	C47 H37 B1 F15 N3 O3 Pd1 S1,0.5(C6 H14)	(1-(2,6-Diisopropylphenyl)-3-(2-(O-(tris(pentafluorophenyl)borane)sulfonato)phenyl)imidazolidin-2-ylidene)-(2,6-dimethylpyridine)-methyl-palladium hexane solvate							P-1	2	11.965	13.617	16.465	112.533	92.003	101.246	2412.352	11.965	13.617	16.465	112.533	92.003	101.246	2412.352	1206.176	2	2.0	1.0					4.34	100	1.61	1.61	3				O1511904	968	20120313	20120313	0	0	0	210	3	3			"CCDC: CCDC 868443 "DOI: 10.1021/om200482a	"TEMP: at 100 K		
GAWVEF	A.J.Poe, D.H.Farrar, R.Ramachandran, C.Moreno	Inorg.Chim.Acta 	274	82	1998	C54 H35 O11 Os3 P1,C6 H14	(mu!2$-eta$4!-1,2,3,4-Tetraphenylbuta-1,3-diene-1,4-diyl)-octacarbonyl-triphenylphosphite-tri-osmium hexane solvate				violet			P21/n	14	11.939	27.591	17.209	90.0	104.98	90.0	5476.151	11.939	17.209	27.591	90.0	90.0	104.98	5476.151	1369.03775	2	4.0	1.0	dichloromethane/hexanes	blocks			4.65	295	1.877	1.88	3				GAWVEF	353	19990406	20180427	699751	0	0	149	3	3			"CCDC: CCDC 1164476 "DOI: 10.1016/S0020-1693(97)05992-6		"COLOR: violet "HABIT: blocks "SOURCE-CHEM: dichloromethane/hexanes	
GAXDUE	D.A.Vicic, W.D.Jones	Organometallics 	17	3411	1998	C28 H44 P2 Pt1 S1,0.5(C6 H14)	(bis(Di-isopropylphosphino)ethane)-(3,3'-dimethyl-1,1'-biphenyl-2-thiolato-C,S)-platinum(ii) hexane solvate				yellow-white			P21/n	14	13.3227	17.5229	13.594	90.0	99.281	90.0	3132.007	13.3227	13.594	17.5229	90.0	90.0	99.281	3132.007	783.00175	2	4.0	1.0		plate			3.71	193	1.512	1.512	3				GAXDUE	353	19990405	20160713	699757	0	0	133	3	3			"CCDC: CCDC 101106 "ARCH: Archive 980204C "DOI: 10.1021/om9803568	"TEMP: at 193 K	"COLOR: yellow-white "HABIT: plate	
GAZMOM	Shuai Wang, M.L.McCrea-Hendrick, C.M.Weinstein, C.A.Caputo, E.Hoppe, J.C.Fettinger, M.M.Olmstead, P.P.Power	J.Am.Chem.Soc. 	139	6586	2017	C64 H84 Sn2,0.5(C6 H14)	diethyl-bis(2,2'',6,6''-tetra-isopropyl-1,1':3',1''-terphenyl-2'-yl)-di-tin n-hexane solvate			133 deg.C	dark green			P21/c	14	24.2225	11.8023	23.2736	90.0	117.075	90.0	5924.339	11.8023	23.2736	24.2225	117.075	90.0	90.0	5924.339	1481.08475	2	4.0	1.0		needle			3.11	90	1.271	1.265	3				GAZMOM	0	20170802	20170809	0	0	0	107	3	3			"CCDC: CCDC 1566214 "DOI: 10.1021/jacs.7b02269	"TEMP: 90.2 K	"MP: 133 deg.C "COLOR: dark green "HABIT: needle	
GEDDUP	Li-Cheng Song, Guang-Ao Yu, Qing-Mei Hu, Chi-Ming Che, Nianyong Zhu, Jie-Sheng Huang	J.Organomet.Chem. 	691	787	2006	C96 H30 Cr1 P2 Pd1,C6 H14,C7 H8	bis(mu!2$-eta$6!-Triphenylphosphine-P)-(eta$2!-C60fullerene)-chromium-palladium(0) hexane toluene solvate			above 300deg.C	black		air-sensitive	P21/c	14	14.122	24.509	20.023	90.0	99.22	90.0	6840.746	14.122	20.023	24.509	90.0	90.0	99.22	6840.746	1710.1865	3	4.0	1.0		prism			4.32	253	1.536	1.536	3				N3740103	688	20060718	20070308	0	0	0	112	3	3			"CCDC: CCDC 273171 "DOI: 10.1016/j.jorganchem.2005.10.020	"TEMP: at 253 K	"MP: above 300deg.C "COLOR: black "HABIT: prism "SENS: air-sensitive	
GEMFOU	M.Brynda, R.Herber, P.B.Hitchcock, M.F.Lappert, I.Nowik, P.P.Power, A.V.Protchenko, A.Ruzicka, J.Steiner	Angew.Chem.,Int.Ed. 	45	4333	2006	C120 H168 N6 Si6 Sn15,2(C6 H14)	hexakis((2,6-Di-isopropylphenyl)(dimethyl(phenyl)silyl)amido)-pentadeca-tin n-hexane solvate				black			P21/n	14	17.5916	18.8745	21.7499	90.0	90.904	90.0	7220.778	17.5916	18.8745	21.7499	90.0	90.904	90.0	7220.778	3610.389	2	2.0	0.5		plate			2.49	90	1.755	1.755	3				P2190805	705	20061107	20061107	0	0	0	125	3	3			"CCDC: CCDC 295623 "DOI: 10.1002/anie.200600292	"TEMP: at 90 K	"COLOR: black "HABIT: plate	
GIGLIS	Xinli Liu, Xiaomin Shang, Tao Tang, Ninghai Hu, Fengkui Pei, Dongmei Cui, Xuesi Chen, Xiabin Jing	Organometallics 	26	2747	2007	C44 H77 Lu1 N2 O3 Si1,C6 H14	(N',N'-bis(2-Oxy-3,5-di-(t-butyl)benzyl)-N,N-diethyl-ethane-1,2-diamino-N,N',O,O')-((trimethylsilyl)methyl)-tetrahydrofuran-lutetium n-hexane solvate							P-1	2	11.5036	12.0931	19.0909	79.711	79.367	74.023	2486.317	11.5036	12.0931	19.0909	79.711	79.367	74.023	2486.317	1243.1585	2	2.0	1.0	toluene/hexane				3.28	187	1.297	0.0	3			The cif gives the diffraction temperature as 293K	Q6770105	758	20070904	20070904	0	0	0	167	3	3			"CCDC: CCDC 620431 "REMARK: The cif gives the diffraction temperature as 293K "DOI: 10.1021/om0700359	"TEMP: at 187 K	"SOURCE-CHEM: toluene/hexane	
GIHDIK	P.M.Boorman, N.L.Langdon, V.J.Mozol, M.Parvez, G.P.A.Yap	Inorg.Chem. 	37	6023	1998	C15 H30 Cl6 S3 W2,0.17(C6 H14)	tris(mu!2$-Thiane)-bis(trichloro-tungsten(iii)) hexane solvate	tris(mu!2$-Pentamethylenesulfide)-bis(trichloro-tungsten(iii)) hexane solvate			dark red			P21/n	14	11.874	21.823	12.545	90.0	100.46	90.0	3196.718	11.874	12.545	21.823	90.0	90.0	100.46	3196.718	799.1795	2	4.0	1.0		prism			4.91	200	1.873	1.888	3				D0670403	354	19990416	20020712	700317	0	0	98	3	3			"CCDC: CCDC 113198 "DOI: 10.1021/ic971542t	"TEMP: at 200.2 K	"COLOR: dark red "HABIT: prism	
GIKBIO	A.Klimash, P.Pander, W.T.Klooster, S.J.Coles, P.Data, F.B.Dias, P.J.Skabara	J.Mater.Chem.C 	6	10557	2018	C44 H26 N4 O2,C6 H14	2,5-bis(10H-phenoxazin-10-yl)dibenzo[a,k][3,8]phenanthroline n-hexane solvate				orange			C2/c	15	11.2803	14.5794	22.9364	90.0	97.579	90.0	3739.167	9.21689	9.21689	22.9364	94.6294	94.6294	104.5407	1869.584	934.79175	2	4.0	0.5		block			4.41	100	1.295	1.295	3				GIKBIO	0	20180921	20181013	0	0	0	117	3	3			"CCDC: CCDC 1853153 "DOI: 10.1039/C8TC03390K	"TEMP: 100 K	"COLOR: orange "HABIT: block	
GITCET	H.Schubert, W.Leis, H.A.Mayer, L.Wesemann	Chem.Commun. 	50	2738	2014	C50 H42 B2 Cl1 Ir1 N4 P2,C6 H14	Chloro-bis(1-((diphenylphosphino)methyl)-3-phenyl-2,3-dihydro-1H-1,3,2-benzodiazaborole)-iridium n-hexane solvate				yellow green			P-1	2	11.135	14.5868	15.8347	93.111	103.149	95.758	2483.966	11.135	14.5868	15.8347	93.111	103.149	95.758	2483.966	1241.983	2	2.0	1.0		prism			3.28	100	1.466	1.466	3				GITCET	0	20140129	20140712	0	0	0	146	3	3			"CCDC: CCDC 973094 "DOI: 10.1039/C4CC00344F	"TEMP: at 100 K	"COLOR: yellow green "HABIT: prism	
GITMEE	Congcong Zhang, Guohua Hou, Guofu Zi, M.D.Walter	Dalton Trans. 	48	2377	2019	C67 H102 N1 P1 Th1,0.5(C6 H14)	bis(eta$5!-1,2,4-tri-t-butylcyclopentadienyl)-((2,4,6-tri-t-butylphenyl)phosphanyl)-([bis(4-methylphenyl)methylidene]amido)-thorium hexane solvate				orange			P-1	2	12.0224	14.9397	19.817	68.243	82.483	80.226	3248.84	12.0224	14.9397	19.817	68.243	82.483	80.226	3248.84	1624.42	2	2.0	1.0		block			4.22	100	1.255	1.255	3				GITMEE	0	20190128	20190212	0	0	0	114	3	3			"CCDC: CCDC 1883598 "DOI: 10.1039/C9DT00012G	"TEMP: 100.0 K	"COLOR: orange "HABIT: block	
GIVKIH	B.Niepotter, R.Herbst-Irmer, D.Kratzert, P.P.Samuel, K.C.Mondal, H.W.Roesky, P.Jerabek, G.Frenking, D.Stalke	Angew.Chem.,Int.Ed. 	53	2766	2014	C46 H70 N2 Si1,0.5(C6 H14)	1,1'-Silanediylidenebis(2-(2,6-diisopropylphenyl)-3,3-dimethyl-2-azaspiro[4.5]decane) n-hexane solvate	bis(2-(2,6-Di-isopropylphenyl)-3,3-dimethyl-2-azaspiro[4.5]dec-1-ylidene)-silicon n-hexane solvate			blue			P-1	2	9.3026	12.0543	19.8808	95.527	98.255	97.265	2173.619	9.3026	12.0543	19.8808	95.527	98.255	97.265	2173.619	1086.8095	2	2.0	1.0		block			2.5	100	1.103	1.103	3		multipole refinement		GIVKIH	0	20140131	20170720	0	0	0	118	3	3			"CCDC: CCDC 962955 "DOI: 10.1002/anie.201308609	"TEMP: 100 K "REFINEMENT: multipole refinement	"COLOR: blue "HABIT: block	
GIYRAJ	Yu Liu, Rakesh Ganguly, Han Vinh Huynh, Weng Kee Leong	Organometallics 	32	7559	2013	C39 H38 N2 O12 Os3 Pd1,C6 H14	bis(mu!2$-Carbonyl)-decacarbonyl-(1,3-bis(2,6-di-isopropylphenyl)imidazolidin-2-ylidene)-tri-osmium-palladium n-hexane solvate				red			P-1	2	12.1588	12.6035	18.1256	96.546	107.72	109.278	2425.387	12.1588	12.6035	18.1256	96.546	107.72	109.278	2425.387	1212.6935	2	2.0	1.0		block			2.71	103	2.04	2.04	3				GIYRAJ	0	20140204	20140711	0	0	0	157	3	3			"CCDC: CCDC 984975 "DOI: 10.1021/om401031h	"TEMP: at 103 K	"COLOR: red "HABIT: block	
GOCKUG	A.Kampfe, E.Kroke, J.Wagler	Organometallics 	33	112	2014	C20 H30 N2 Si1,0.5(C6 H14)	2,8-Diethyl-1,3,5,5,7,9-hexamethyl-10-methylene-10H-dipyrrolo[1,2-c:2',1'-f][1,3,2]diazasiline n-hexane solvate				yellow			P21/n	14	12.8979	8.5767	20.6662	90.0	103.998	90.0	2218.236	8.5767	12.8979	20.6662	103.998	90.0	90.0	2218.236	554.559	2	4.0	1.0		plate			3.91	150	1.107	1.107	3				GOCKUG	0	20140204	20140515	0	0	0	150	3	3			"CCDC: CCDC 957880 "DOI: 10.1021/om400868w	"TEMP: at 150 K	"COLOR: yellow "HABIT: plate	
GOYGAC	R.G.Raptis, I.P.Georgakaki, D.C.R.Hockless	Angew.Chem.,Int.Ed. 	38	1632	1999	C36 H36 Cl4 Fe8 N24 O4,0.5(C6 H14)	tetrakis(mu!4$-Oxo)-tetrachloro-dodecakis(mu!2$-pyrazolato)-octa-iron(iii) hexane solvate			563K	purple			P-1	2	12.367	12.508	20.794	77.45	80.8	70.27	2942.243	12.367	12.508	20.794	77.45	80.8	70.27	2942.243	1471.1215	2	2.0	1.0		prism			2.73	295	1.694	1.694	3				D3950201	369	19990921	20020712	713460	0	0	97	3	3			"CCDC: CCDC 101766 "ARCH: 980528G "DOI: 10.1002/(SICI)1521-3773(19990601)38:11<1632::AID-ANIE1632>3.3.CO;2-F		"MP: 563K "COLOR: purple "HABIT: prism	
GUCNOI	Chengfu Pi, J.Elguero, Li Wan, I.Alkorta, Wenjun Zheng, Linhong Weng, Zhenxia Chen, Limin Wu	Chem.-Eur.J. 	15	6581	2009	C50 H90 N11 P5 Sn4,C6 H14	(mu!4$-Nitrido)-tris(mu!2$-3,5-di-t-butyl-1,2,4-diazaphospholide-N,N')-bis(3,5-di-t-butyl-1,2,4-diazaphospholide-N)-tetra-tin n-hexane solvate			258deg.C(dec.)	orange		air- and moisture-sensitive	C2221	20	14.718	24.08	20.149	90.0	90.0	90.0	7140.996	14.11086	14.11086	20.149	90.0	90.0	117.1324	3570.496	1785.249	2	4.0	0.5		prism			2.43	293	1.452	1.452	3		at 293 K		W1820901	887	20100504	20100504	0	0	0	181	3	3			"CCDC: CCDC 713387 "DOI: 10.1002/chem.200900867	"TEMP: at 293 K	"MP: 258deg.C(dec.) "COLOR: orange "HABIT: prism "SENS: air- and moisture-sensitive	
GUHQUY	T.Delcaillau, A.Bismuto, Zhong Lian, B.Morandi	Angew.Chem.,Int.Ed. 	59	2110	2020	C34 H60 Ni1 P2,C6 H14	[cyclo-octa-1,5-diene]-((ethane-1,2-diyl)bis(dicyclohexylphosphine))-nickel n-hexane solvate				colorless			C2/c	15	21.1732	9.5185	21.2821	90.0	116.853	90.0	3826.629	9.5185	11.60718	19.59879	81.6704	75.9461	65.7935	1913.315	956.65725	2	4.0	0.5		block			3.43	100	1.173	1.173	3				GUHQUY	0	20200214	20200416	0	0	0	113	3	3			"CCDC: CCDC 1913512 "DOI: 10.1002/anie.201910436	"TEMP: 100 K	"COLOR: colorless "HABIT: block	
GULROW	Baosheng Wei	Organometallics 	34	1339	2015	C25 H21 I1 O3,0.5(C6 H14)	9-(2,2-dimethylpropanoyl)-9H-fluoren-9-yl 4-iodobenzoate n-hexane solvate				colorless			P-1	2	8.5711	11.9149	12.8621	79.408	75.046	78.587	1231.666	8.5711	11.9149	12.8621	79.408	75.046	78.587	1231.666	615.833	2	2.0	1.0		needle			3.67	180	1.455	1.454	3				GULROW	0	20150421	20150424	0	0	0	140	3	3			"CCDC: CCDC 1036612 "DOI: 10.1021/acs.organomet.5b00059	"TEMP: at 180.0 K	"COLOR: colorless "HABIT: needle	
GUPFIH	Lei Wu, Min Shi	Chem.-Eur.J. 	16	1149	2010	C29 H27 N1 O6,0.5(C6 H14)	Dimethyl 6-benzylidene-1-(4-methoxyphenyl)-5-oxo-2-phenylpiperidine-3,3-dicarboxylate n-hexane solvate				yellow			P21/c	14	15.477	15.4641	12.1983	90.0	104.053	90.0	2832.139	12.1983	15.4641	15.477	90.0	104.053	90.0	2832.139	708.03475	2	4.0	1.0		block			4.6	296	1.24	1.24	3		at 296 K		GUPFIH	905	20100923	20150714	0	0	0	151	3	3			"CCDC: CCDC 731462 "DOI: 10.1002/chem.200902510	"TEMP: at 296 K	"COLOR: yellow "HABIT: block	
GUQJUX	S.Kotte, L.Stelzig, R.Wonnemann, B.Krebs, A.Steiner	Z.Anorg.Allg.Chem. 	626	1575	2000	C46 H40 Cd1 N8 S2,0.25(C6 H14),0.5(C5 H5 N1)	(1-(5-Mercapto-3-methyl-1-phenylpyrazole-4-carboxaldehyde) 4-triphenylmethylthiosemicarbazonato)-tris(pyridine)-cadmium(ii) hexane pyridine solvate				yellow			P-1	2	12.813	17.11	22.508	109.84	90.05	103.97	4485.692	12.813	17.11	22.508	109.84	90.05	103.97	4485.692	1121.423	3	4.0	2.0		needles			3.76	295	1.396	1.396	3				GUQJUX	421	20010412	20170726	735187	0	0	196	3	3			"CCDC: CCDC 144592 "DOI: 10.1002/1521-3749(200007)626:7<1575::AID-ZAAC1575>3.3.CO;2-L		"COLOR: yellow "HABIT: needles	
GURNIT	M.Juckel, Deepak Dange, C.de Bruin-Dickason, C.Jones	Z.Anorg.Allg.Chem. 	646	603	2020	C58 H90 B2 N6 Si2 Zn2,0.5(C6 H14)	bis(1,3-bis(2,6-di-isopropylphenyl)-N-(trimethylsilyl)-1,3-dihydro-2H-1,3,2-diazaborol-2-amino)-di-zinc n-hexane solvate			177-181 deg.C	colorless			P21/n	14	19.433	10.752	30.571	90.0	99.87	90.0	6293.074	10.752	19.433	30.571	99.87	90.0	90.0	6293.074	1573.2685	2	4.0	1.0		block			4.1	100	1.185	1.185	3		synchrotron		GURNIT	0	20200713	20200826	0	0	0	137	3	3			"CCDC: CCDC 1953374 "DOI: 10.1002/zaac.201900229	"TEMP: 100 K "RADIATION: synchrotron	"MP: 177-181 deg.C "COLOR: colorless "HABIT: block	
GURPOB	M.Juckel, Deepak Dange, C.de Bruin-Dickason, C.Jones	Z.Anorg.Allg.Chem. 	646	603	2020	C58 H90 B2 Hg2 N6 Si2,0.5(C6 H14)	bis(1,3-bis(2,6-di-isopropylphenyl)-N-(trimethylsilyl)-1,3-dihydro-2H-1,3,2-diazaborol-2-amino)-di-mercury n-hexane solvate				colorless			P21/n	14	19.0832	10.7792	31.5441	90.0	99.087	90.0	6407.238	10.7792	19.0832	31.5441	99.087	90.0	90.0	6407.238	1601.8095	2	4.0	1.0		block			3.15	100	1.445	1.445	3		synchrotron		GURPOB	0	20200713	20200826	0	0	0	137	3	3			"CCDC: CCDC 1953380 "DOI: 10.1002/zaac.201900229	"TEMP: 100 K "RADIATION: synchrotron	"COLOR: colorless "HABIT: block	
GUSXEA	D.Bockfeld, M.Tamm	Z.Anorg.Allg.Chem. 	646	866	2020	C48 H60 As1 N5,0.5(C6 H14)	N-{1,3-bis[2,6-di-isopropylphenyl]-1,3-dihydro-2H-imidazol-2-ylidene}-As-[1,3-dimesityl-1,3-dihydro-2H-imidazol-2-ylidene]arsinous amide n-hexane solvate				red			P21/c	14	10.9344	11.1283	37.627	90.0	89.666	90.0	4578.424	10.9344	11.1283	37.627	90.0	90.334	90.0	4578.424	1144.606	2	4.0	1.0		irregular			3.99	100	1.197	1.197	3				GUSXEA	0	20200713	20200814	0	0	0	130	3	3			"CCDC: CCDC 1865982 "DOI: 10.1002/zaac.202000094	"TEMP: 100 K	"COLOR: red "HABIT: irregular	
GUWVOK	Zhong-Ming Sun, Shuo-Ping Chen, Pinjing Zhao	Chem.-Eur.J. 	16	2619	2010	C80 H72 N2 P4 Rh2,C6 H14,C7 H8	bis(mu!2$-diphenylmethyleneamido)-bis(1,3-bis(diphenylphosphino)propane)-di-rhodium hexane toluene solvate				red brown			P-1	2	12.934	14.777	20.935	83.481	88.79	81.487	3931.509	12.934	14.777	20.935	83.481	88.79	81.487	3931.509	1965.7545	3	2.0	1.0		brick			4.35	293	1.326	1.326	3		at 293 K	Study temperature given as 566 K in the cif	GUWVOK	906	20101003	20150714	0	0	0	138	3	3			"CCDC: CCDC 743088 "REMARK: Study temperature given as 566 K in the cif "DOI: 10.1002/chem.200902814	"TEMP: at 293 K	"COLOR: red brown "HABIT: brick	
GUWXII	T.D.Lohrey, E.A.Cortes, J.I.Fostvedt, A.K.Oanta, Anukta Jain, R.G.Bergman, J.Arnold	Inorg.Chem. 	59	11096	2020	C59 H76 N5 O1 Re1,0.75(C6 H14)	{[(2,6-dimethylphenyl)-azanylidyne]methyl}-{[(2,6-dimethylphenyl)imino](oxido)methyl}-{[2,6-bis(propan-2-yl)phenyl]imino}-[N-(4-{[2,6-bis(propan-2-yl)phenyl]imino}pent-2-en-2-yl)-2,6-bis(propan-2-yl)benzen-1-aminide]-rhenium hexane solvate				orange			P-1	2	11.971	21.413	23.462	73.948	80.496	83.89	5688.584	11.971	21.413	23.462	73.948	80.496	83.89	5688.584	1422.146	2	4.0	2.0		block			4.37	100	1.31	1.31	3		synchrotron		GUWXII	0	20200714	20200816	0	0	0	153	3	3			"CCDC: CCDC 1993806 "DOI: 10.1021/acs.inorgchem.0c01589	"TEMP: 100 K "RADIATION: synchrotron	"COLOR: orange "HABIT: block	
GUYVEE	S.Sandl, T.M.Maier, N.P.van Leest, S.Kroncke, U.Chakraborty, S.Demeshko, K.Koszinowski, Bas de Bruin, F.Meyer, M.Bodensteiner, C.Herrmann, R.Wolf, Axel Jacobi von Wangelin	ACS Catalysis 	9	7596	2019	C42 H46 Co1 N2,0.5(C6 H14)	(benzene)-{N$1!,N$2!-bis[2,6-bis(propan-2-yl)phenyl]acenaphthylene-1,2-diaminato radical}-cobalt(i) hexane solvate				dark red		Air-sensitive	P-1	2	12.3103	12.6855	13.5302	69.519	77.844	79.251	1920.224	12.3103	12.6855	13.5302	69.519	77.844	79.251	1920.224	960.112	2	2.0	1.0	n-hexane	block			3.2	123	1.178	1.177	3				GUYVEE	0	20201110	20201210	0	0	0	164	3	3			"CCDC: CCDC 1909829 "DOI: 10.1021/acscatal.9b01584	"TEMP: 123 K	"COLOR: dark red "HABIT: block "SOURCE-CHEM: n-hexane "SENS: Air-sensitive	
HABFID	Ke Du, P.Demay-Drouhard, K.Samanta, Shunshun Li, T.U.Thikekar, Haiying Wang, Minjie Guo, B.van Lagen, Han Zuilhof, A.C.-H Sue	J.Org.Chem. 	85	11368	2020	C55 H70 O10,C6 H14	4,9,14,19,24-pentamethoxy-26,28,30,32,34-pentapropoxypillar[5]arene hexane solvate	4,9,14,19,24-pentamethoxy-26,28,30,32,34-pentapropoxyhexacyclo[21.2.2.2$3,6!.2$8,11!.2$13,16!.2$18,21!]pentatriaconta-1(25),3,5,8,10,13,15,18,20,23,26,28,30,32,34-pentadecaene hexane solvate			colorless			Pbca	61	20.84906	14.0884	38.1251	90.0	90.0	90.0	11198.482	14.0884	20.84906	38.1251	90.0	90.0	90.0	11198.482	1399.81025	2	8.0	1.0		plate			4.06	160	1.159	1.159	3				HABFID	0	20200907	20200922	0	0	0	86	3	3			"CCDC: CCDC 1989352 "DOI: 10.1021/acs.joc.0c01464	"TEMP: 160 K	"COLOR: colorless "HABIT: plate	
HAHDUQ	I.P.Gray, A.M.Z.Slawin, J.D.Woollins	Dalton Trans. 		2477	2004	C36 H48 O8 P4 S8 Zn2,C6 H14	bis((mu!2$-Ethoxy-(4-methoxyphenyl)phosphonodithioato-S,S')-(ethoxy-(4-methoxyphenyl)phosphonodithioato-S,S'))-di-zinc(ii) hexane solvate				colorless			P-1	2	10.796	11.222	12.495	65.482	77.56	79.46	1337.496	10.796	11.222	12.495	65.482	77.56	79.46	1337.496	1337.496	2	1.0	0.5	hexane/chloroform	prism			4.19	93	1.497	1.497	3				HAHDUQ	608	20050315	20170718	0	0	0	133	3	3			"CCDC: CCDC 237203 "DOI: 10.1039/b406411a	"TEMP: at 93 K	"COLOR: colorless "HABIT: prism "SOURCE-CHEM: hexane/chloroform	
HAHFIG	I.P.Gray, A.M.Z.Slawin, J.D.Woollins	Dalton Trans. 		2477	2004	C20 H28 O4 P2 Pb1 S4,0.5(C6 H14)	bis((Isopropoxy)-(4-methoxyphenyl)phosphonodithioato-S,S')-lead(ii) hexane solvate				colorless			P-1	2	11.2492	12.1942	12.4142	101.277	93.228	114.671	1499.31	11.2492	12.1942	12.4142	101.277	93.228	114.671	1499.31	749.655	2	2.0	1.0	hexane/chloroform	plate			2.76	125	1.712	1.712	3				HAHFIG	608	20050315	20160715	0	0	0	129	3	3			"CCDC: CCDC 237197 "DOI: 10.1039/b406411a	"TEMP: at 125 K	"COLOR: colorless "HABIT: plate "SOURCE-CHEM: hexane/chloroform	
HECDOK	H.Braunschweig, Ching-Wen Chiu, D.Gamon, M.Kaupp, I.Krummenacher, T.Kupfer, R.Muller, K.Radacki	Chem.-Eur.J. 	18	11732	2012	C48 H37 B1 Fe1 N2,0.25(C6 H14),1.75(C6 H6)	1-ferrocenyl-(2,3,4,5-tetraphenylborole-1-(4,4'-bipyridine)) hexane benzene solvate				orange			P-1	2	13.3654	13.6951	25.856	78.781	86.998	77.144	4525.682	13.3654	13.6951	25.856	78.781	86.998	77.144	4525.682	1131.4205	3	4.0	2.0		needle			4.77	100	1.272	1.272	3				O5482204	993	20130201	20130201	0	0	0	156	3	3			"CCDC: CCDC 863939 "DOI: 10.1002/chem.201201317	"TEMP: at 100 K	"COLOR: orange "HABIT: needle	
HEFPEO	Kiat Hwa Chan, Weng Kee Leong, Kar Hang G.Mak	Organometallics 	25	250	2006	C19 H15 O9 Os3 Sb1,0.5(C6 H14)	(mu!3$-eta$2!,eta$2!-3,5-Dimethylphenyl)-(mu!2$-dimethylantimonido)-nonacarbonyl-tri-osmium hexane solvate				red			P21/n	14	9.8025	18.03	15.8402	90.0	103.488	90.0	2722.366	9.8025	15.8402	18.03	90.0	90.0	103.488	2722.366	680.5915	2	4.0	1.0	dichloromethane/hexane	block			3.03	223	2.739	2.739	3				N1580110	674	20060425	20060425	0	0	0	113	3	3			"CCDC: CCDC 297631 "DOI: 10.1021/om0508132	"TEMP: at 223 K	"COLOR: red "HABIT: block "SOURCE-CHEM: dichloromethane/hexane	
HEJPAN	F.Laporte, F.Mercier, L.Ricard, F.Mathey	J.Am.Chem.Soc. 	116	3306	1994	C54 H48 Mo1 O4 P4,C6 H4 Cl2,C6 H14	(5,6,9,10,16,17,20,21-Octamethyl-4,11,15,22-tetraphenyl-1,3,12,14-tetraphosphapentacyclo(17.3.0.0$3,7!.0$8,12!.0$14,18!)docosa-3,6,8,10,15,17,19,21-octaen-1,8-diyl)-tetracarbonyl-molybdenum o-dichlorobenzene n-hexane solvate				orange			P-1	2	13.315	14.445	15.825	88.4	78.83	81.5	2953.246	13.315	14.445	15.825	88.4	78.83	81.5	2953.246	1476.623	3	2.0	1.0					4.3	123	1.365	1.365	3				HEJPAN	234	19950118	20020712	636459	0	0	179	3	3			"DOI: 10.1021/ja00087a017	"TEMP: at -150deg.C	"COLOR: orange	
